source,destination,holding_time
0,3,94
0,3,4
7,3,14
7,3,35
7,4,5
0,4,5
0,3,48
7,3,6
7,3,4
0,3,22
7,3,7
0,3,5
0,4,58
7,3,6
0,3,86
0,4,4
7,3,21
0,4,23
7,3,14
0,4,2
0,4,80
0,4,2
0,3,23
0,4,41
0,3,15
7,3,8
7,3,51
0,3,58
0,3,72
7,4,53
0,3,13
0,3,29
7,4,12
0,3,22
7,4,9
7,4,36
7,4,5
7,4,35
0,4,17
0,4,4
0,3,60
0,3,3
7,4,6
7,4,30
0,3,56
7,4,36
7,4,23
0,3,53
7,3,41
7,4,51
7,4,2
0,3,10
7,4,6
0,3,2
0,4,3
0,4,45
0,4,44
0,3,43
0,4,26
7,3,6
7,3,40
7,3,5
0,3,9
0,3,9
0,4,36
7,3,9
0,4,3
7,4,2
7,4,32
0,4,31
7,4,30
7,4,29
7,3,28
7,4,27
7,4,3
0,4,25
0,4,4
7,4,23
7,3,10
0,4,21
7,3,2
0,3,5
0,3,18
7,3,17
7,4,16
0,4,15
7,4,14
0,4,13
0,3,12
0,3,11
7,3,10
7,3,6
0,3,8
0,4,2
0,3,6
0,4,5
0,3,4
7,3,3
7,3,2
0,4,1
